Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,150,200,30.48,1.36,7.66,4.24,17.22,-2.78,4.87,5,10,-3.19,6.63,0.71,-0.67,0.15,118,79,33,13
NIFTY,150,210,29.66,0.82,7.83,4.18,16.83,-2.09,4.78,5,10,-3.25,6.34,0.71,-0.69,0.15,118,79,32,14
NIFTY,150,220,31.17,0.49,7.37,6.46,16.85,-2.12,4.54,5,10,-3.44,6.25,0.71,-0.69,0.16,119,78,32,14
NIFTY,150,230,30.31,-0.12,7.35,6.84,16.24,-2.13,4.54,5,11,-3.5,8.92,0.7,-0.71,0.15,121,76,32,14
NIFTY,150,240,28.8,-0.17,6.85,6.62,15.49,-2.28,4.46,5,11,-3.63,8.87,0.7,-0.72,0.15,120,77,32,14
NIFTY,150,250,28.14,-0.38,6.68,7.14,14.7,-2.57,4.36,5,11,-3.63,9.43,0.71,-0.72,0.14,119,78,31,15
NIFTY,150,50,3.93,-5.57,-3.67,-3.95,17.12,-4.4,6.76,6,6,-9.65,10.91,1.14,-1.26,0.02,105,92,20,26
NIFTY,150,60,4.5,-7.26,-2.74,-5.56,20.06,-4.48,6.69,7,6,-5.78,10.52,1.08,-1.09,0.02,101,96,19,27
NIFTY,150,70,16.04,-6.2,1.75,-0.11,20.6,-4.48,6.5,9,8,-5.94,10.06,0.98,-0.97,0.08,106,91,23,23
NIFTY,150,80,16.27,-5.36,0.34,1.64,19.64,-3.41,6.42,9,8,-5.85,9.69,0.93,-0.9,0.08,106,91,23,23
NIFTY,150,90,16.84,-3.42,-1.62,3.22,18.67,-3.57,6.3,10,8,-4.64,8.81,0.83,-0.87,0.09,111,86,24,22
NIFTY,160,100,11.93,-4.62,-3.03,3.76,15.81,-3.89,6.11,6,8,-6.01,8.07,0.8,-0.87,0.06,110,87,25,21
NIFTY,160,110,12.32,-2.85,-3.01,1.71,16.46,-3.62,6.02,5,7,-6.57,7.59,0.79,-0.78,0.06,106,91,29,17
NIFTY,160,120,9.62,-2.71,-4.1,0.07,16.36,-3.74,5.89,5,6,-5.29,7.49,0.77,-0.81,0.05,107,90,27,19
NIFTY,160,130,3.05,-4.48,-5.76,-0.54,13.83,-4.18,5.77,5,6,-5.97,7.2,0.76,-0.82,0.02,104,93,26,20
NIFTY,160,140,3.29,-4.14,-6.1,-1.57,15.1,-3.25,5.59,5,8,-6.68,6.89,0.7,-0.85,0.02,110,87,26,20
NIFTY,160,150,2.97,-1.97,-6.25,-0.87,12.04,-3.25,5.57,5,8,-7.41,6.85,0.68,-0.85,0.02,111,86,30,16
NIFTY,160,160,2.64,-0.85,-7.58,0.33,10.74,-3.33,5.36,5,5,-7.86,6.64,0.68,-0.8,0.01,108,89,32,14
NIFTY,160,170,13.77,-1.41,-1.45,1.12,15.51,-2.43,5.32,6,8,-5.0,6.59,0.67,-0.74,0.07,113,84,30,16
NIFTY,160,180,19.97,-1.36,3.59,1.92,15.83,-2.55,5.05,6,8,-3.3,6.32,0.68,-0.7,0.1,114,83,31,15
NIFTY,160,190,22.1,-0.6,4.84,2.04,15.82,-2.65,4.99,5,8,-3.23,6.55,0.69,-0.69,0.11,114,83,30,16
NIFTY,160,200,28.41,0.05,6.5,4.77,17.09,-2.06,4.87,5,9,-3.19,6.59,0.7,-0.69,0.14,118,79,34,12
NIFTY,160,210,27.59,-0.49,6.67,4.71,16.7,-2.05,4.78,5,9,-3.25,6.29,0.71,-0.71,0.14,118,79,33,13
NIFTY,160,220,29.09,-0.83,6.22,6.98,16.72,-2.12,4.54,5,9,-3.44,6.22,0.71,-0.71,0.15,119,78,32,14
NIFTY,160,230,28.24,-1.43,6.2,7.37,16.11,-2.13,4.54,5,11,-3.5,8.89,0.69,-0.73,0.14,121,76,32,14
NIFTY,160,240,26.72,-1.48,5.69,7.15,15.36,-2.28,4.46,5,11,-3.63,8.84,0.7,-0.74,0.14,120,77,31,15
NIFTY,160,250,26.07,-1.69,5.53,7.67,14.57,-2.57,4.36,5,11,-3.63,9.4,0.7,-0.74,0.13,119,78,30,16
NIFTY,160,50,1.85,-6.88,-4.82,-3.43,16.99,-4.39,6.76,6,6,-10.55,10.91,1.15,-1.26,0.01,104,93,19,27
NIFTY,160,60,2.42,-8.57,-3.9,-5.04,19.93,-4.47,6.69,7,6,-8.18,10.52,1.09,-1.1,0.01,100,97,19,27
NIFTY,160,70,13.97,-7.51,0.59,0.41,20.47,-4.47,6.5,9,8,-5.93,10.06,1.0,-0.97,0.07,104,93,23,23
NIFTY,160,80,14.19,-6.67,-0.81,2.16,19.51,-3.41,6.42,9,8,-5.13,9.69,0.94,-0.92,0.07,105,92,23,23
NIFTY,160,90,14.76,-4.73,-2.78,3.74,18.54,-3.73,6.3,10,8,-4.86,8.81,0.84,-0.89,0.07,110,87,25,21
NIFTY,170,100,12.8,-4.68,-3.81,3.88,17.41,-4.13,6.11,6,8,-5.95,8.07,0.8,-0.86,0.06,110,87,26,20
NIFTY,170,110,13.19,-2.92,-3.79,1.83,18.06,-3.88,6.02,5,7,-6.51,7.59,0.79,-0.78,0.07,106,91,29,17
NIFTY,170,120,10.49,-2.78,-4.87,0.19,17.96,-4.01,5.89,5,6,-5.71,7.49,0.77,-0.81,0.05,108,89,27,19
NIFTY,170,130,3.92,-4.55,-6.53,-0.42,15.43,-4.44,5.77,5,6,-6.39,7.2,0.75,-0.82,0.02,105,92,26,20
NIFTY,170,140,4.16,-4.21,-6.88,-1.45,16.7,-3.4,5.59,5,8,-7.1,6.89,0.7,-0.84,0.02,110,87,25,21
NIFTY,170,150,3.84,-2.04,-7.02,-0.75,13.64,-3.39,5.57,5,8,-7.83,6.85,0.68,-0.84,0.02,112,85,30,16
NIFTY,170,160,3.51,-0.92,-8.36,0.45,12.34,-3.39,5.36,5,5,-8.28,6.64,0.68,-0.8,0.02,109,88,31,15
NIFTY,170,170,14.64,-1.48,-2.22,1.24,17.1,-2.52,5.32,6,8,-5.42,6.59,0.67,-0.73,0.07,113,84,32,14
NIFTY,170,180,20.84,-1.43,2.81,2.03,17.42,-2.74,5.05,6,8,-3.3,6.32,0.68,-0.69,0.11,115,82,32,14
NIFTY,170,190,22.97,-0.67,4.06,2.16,17.42,-2.84,4.99,3,8,-3.23,6.37,0.68,-0.69,0.12,116,81,30,16
NIFTY,170,200,29.27,-0.02,5.72,4.89,18.69,-2.17,4.87,3,9,-3.19,6.41,0.69,-0.68,0.15,119,78,34,12
NIFTY,170,210,28.46,-0.56,5.89,4.82,18.3,-2.17,4.78,3,9,-3.25,6.11,0.7,-0.7,0.14,119,78,33,13
NIFTY,170,220,29.96,-0.9,5.44,7.1,18.32,-2.17,4.54,3,9,-3.44,6.03,0.7,-0.69,0.15,120,77,32,14
NIFTY,170,230,29.11,-1.5,5.42,7.48,17.71,-2.17,4.54,3,11,-3.5,8.7,0.68,-0.72,0.15,122,75,32,14
NIFTY,170,240,27.59,-1.55,4.92,7.26,16.96,-2.28,4.46,3,11,-3.63,8.65,0.68,-0.73,0.14,121,76,31,15
NIFTY,170,250,26.94,-1.76,4.75,7.79,16.17,-2.57,4.36,5,11,-3.63,9.21,0.69,-0.73,0.14,120,77,31,15
NIFTY,170,50,2.72,-6.95,-5.6,-3.31,18.58,-4.38,6.76,6,6,-11.01,10.91,1.14,-1.27,0.01,105,92,19,27
NIFTY,170,60,3.29,-8.64,-4.68,-4.92,21.53,-4.47,6.69,7,6,-8.64,10.52,1.09,-1.11,0.02,101,96,19,27
NIFTY,170,70,14.84,-7.58,-0.19,0.53,22.07,-4.47,6.5,9,8,-5.93,10.06,0.99,-0.97,0.08,105,92,23,23
NIFTY,170,80,15.06,-6.74,-1.59,2.28,21.11,-3.65,6.42,9,8,-5.22,9.69,0.94,-0.91,0.08,105,92,23,23
NIFTY,170,90,15.63,-4.8,-3.56,3.86,20.14,-3.97,6.3,10,8,-5.28,8.81,0.83,-0.91,0.08,112,85,25,21
NIFTY,180,100,10.34,-5.84,-4.33,4.26,16.25,-4.51,6.11,6,8,-6.37,8.07,0.8,-0.89,0.05,110,87,26,20
NIFTY,180,110,10.73,-4.08,-4.31,2.21,16.9,-4.02,6.02,5,7,-6.93,7.59,0.79,-0.8,0.05,106,91,26,20
NIFTY,180,120,8.03,-3.94,-5.4,0.57,16.8,-4.15,5.89,5,6,-5.14,7.49,0.76,-0.83,0.04,108,89,27,19
NIFTY,180,130,1.47,-5.71,-7.06,-0.04,14.27,-4.58,5.77,5,6,-5.82,7.2,0.75,-0.84,0.01,105,92,26,20
NIFTY,180,140,1.7,-5.37,-7.4,-1.07,15.54,-3.53,5.59,5,8,-6.54,6.89,0.7,-0.86,0.01,110,87,26,20
NIFTY,180,150,1.38,-3.19,-7.55,-0.37,12.49,-3.24,5.57,5,8,-7.27,6.85,0.67,-0.87,0.01,112,85,30,16
NIFTY,180,160,1.06,-2.08,-8.88,0.83,11.18,-3.57,5.36,5,5,-7.72,6.64,0.67,-0.82,0.01,109,88,32,14
NIFTY,180,170,12.18,-2.64,-2.75,1.62,15.95,-2.57,5.32,6,8,-4.85,6.59,0.67,-0.75,0.06,113,84,31,15
NIFTY,180,180,18.38,-2.59,2.29,2.42,16.27,-2.74,5.05,3,8,-3.3,6.32,0.66,-0.72,0.09,116,81,31,15
