Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,160,150,-1.65,0.56,-2.21,-3.41,3.63,4,7,-5.15,5.86,1.05,-1.29,-0.02,40,34,9,9
FINNIFTY,160,160,2.96,1.97,0.99,-3.41,3.44,4,7,-4.58,5.92,1.13,-1.32,0.04,41,33,9,9
FINNIFTY,160,170,0.41,0.01,0.4,-3.43,3.34,4,7,-4.68,5.86,1.17,-1.29,0.01,39,35,10,8
FINNIFTY,160,180,1.32,-0.09,1.41,-3.41,3.28,5,6,-4.67,5.76,1.21,-1.31,0.02,39,35,10,8
FINNIFTY,160,190,5.44,3.95,1.49,-3.41,3.6,5,6,-4.67,6.0,1.26,-1.33,0.07,40,34,10,8
FINNIFTY,160,200,6.28,5.59,0.7,-3.41,3.59,5,8,-4.65,7.04,1.25,-1.36,0.08,41,33,9,9
FINNIFTY,160,50,-13.33,-8.64,-4.68,-3.72,4.84,4,5,-8.73,8.05,1.58,-1.76,-0.18,35,39,7,11
FINNIFTY,160,60,-12.57,-5.75,-6.83,-3.7,4.74,4,5,-6.72,7.2,1.51,-1.68,-0.17,35,39,7,11
FINNIFTY,160,70,-13.67,-4.83,-8.84,-3.78,4.59,4,5,-6.0,5.87,1.37,-1.65,-0.18,36,38,5,13
FINNIFTY,160,80,-8.88,-1.94,-6.93,-3.77,4.5,4,5,-6.13,5.54,1.28,-1.52,-0.12,37,37,6,12
FINNIFTY,160,90,-7.63,-0.99,-6.65,-3.71,4.15,4,5,-6.33,5.38,1.28,-1.49,-0.1,37,37,6,12
FINNIFTY,170,100,-8.08,-3.34,-4.74,-3.52,4.11,4,7,-6.11,5.72,1.18,-1.62,-0.11,40,34,6,12
FINNIFTY,170,110,-2.61,-0.32,-2.3,-3.52,4.11,4,7,-4.54,6.25,1.18,-1.46,-0.04,40,34,7,11
FINNIFTY,170,120,-2.7,-1.18,-1.52,-3.52,4.0,4,7,-4.65,6.36,1.12,-1.39,-0.04,40,34,8,10
FINNIFTY,170,130,-4.91,-2.31,-2.6,-3.52,3.75,4,7,-4.74,6.39,1.19,-1.26,-0.07,36,38,7,11
FINNIFTY,170,140,-2.89,-0.16,-2.74,-3.52,3.65,4,7,-4.87,6.0,1.14,-1.21,-0.04,37,37,9,9
FINNIFTY,170,150,-4.44,-1.52,-2.91,-3.52,3.63,4,7,-5.3,6.1,1.1,-1.28,-0.06,38,36,8,10
FINNIFTY,170,160,0.17,-0.12,0.29,-3.52,3.44,4,7,-4.73,6.11,1.14,-1.34,0.0,40,34,9,9
FINNIFTY,170,170,-2.37,-2.07,-0.3,-3.58,3.34,4,7,-4.95,6.11,1.18,-1.31,-0.03,38,36,9,9
FINNIFTY,170,180,-1.46,-2.18,0.71,-3.57,3.24,5,6,-5.18,6.01,1.22,-1.33,-0.02,38,36,9,9
FINNIFTY,170,190,2.65,1.87,0.79,-3.57,3.28,5,6,-5.25,6.01,1.28,-1.35,0.04,39,35,8,10
FINNIFTY,170,200,3.5,3.5,-0.0,-3.55,3.28,5,8,-4.8,7.11,1.26,-1.37,0.05,40,34,9,9
FINNIFTY,170,50,-16.11,-10.73,-5.38,-3.82,4.84,4,5,-8.84,8.05,1.52,-1.87,-0.22,36,38,7,11
FINNIFTY,170,60,-15.36,-7.83,-7.52,-3.81,4.74,4,5,-6.84,7.2,1.5,-1.74,-0.21,35,39,7,11
FINNIFTY,170,70,-16.45,-6.92,-9.53,-3.89,4.59,4,5,-6.43,5.87,1.35,-1.72,-0.22,36,38,6,12
FINNIFTY,170,80,-11.66,-4.03,-7.63,-3.88,4.5,4,5,-6.47,5.54,1.31,-1.55,-0.16,36,38,6,12
